timestamp,chain,location,product_name,price,unit,sale,category,year,location_type,wayback_url
2020-01-06 15:42:51,French's Meat Shoppe,"7851 E. McDowell Rd., Scottsdale, AZ 85257",Ground Chicken Breast,2.99,lb,False,Meat & Poultry,2020,store-specific,https://web.archive.org/web/20200106154251id_/https://frenchsmeatshop.com/menu
2020-01-06 15:42:51,French's Meat Shoppe,"7851 E. McDowell Rd., Scottsdale, AZ 85257",Boneless Chicken Breast 5# pkg.,4.3,lb,False,Meat & Poultry,2020,store-specific,https://web.archive.org/web/20200106154251id_/https://frenchsmeatshop.com/menu
2020-01-06 15:42:51,French's Meat Shoppe,"7851 E. McDowell Rd., Scottsdale, AZ 85257",French's Fiesta Sirloin Steaks,10.99,lb,False,Meat & Poultry,2020,store-specific,https://web.archive.org/web/20200106154251id_/https://frenchsmeatshop.com/menu
2020-01-14 09:12:50,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Coke Classic,4.0,package,False,Beverages,2020,unknown,https://web.archive.org/web/20200114091250id_/https://gfsstore.com/
2020-01-14 09:12:50,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Diet Coke,4.0,package,False,Beverages,2020,unknown,https://web.archive.org/web/20200114091250id_/https://gfsstore.com/
2020-01-14 09:12:50,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Spaghetti Sauce,4.99,jar,False,Pantry & Canned,2020,unknown,https://web.archive.org/web/20200114091250id_/https://gfsstore.com/
2020-01-14 09:12:50,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Artisan Macaroni & Cheese Entr\u00e9e,6.99,tray,False,Dairy & Eggs,2020,unknown,https://web.archive.org/web/20200114091250id_/https://gfsstore.com/
2020-01-14 09:12:50,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Artisan Macaroni & Cheese Entrée,6.99,tray,False,Dairy & Eggs,2020,unknown,https://web.archive.org/web/20200114091250id_/https://gfsstore.com/
2020-01-14 09:12:50,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Macaroni & Cheese,6.99,package,False,Dairy & Eggs,2020,unknown,https://web.archive.org/web/20200114091250id_/https://gfsstore.com/
2020-01-17 16:24:06,Harter House,Harter House - Springfield MO area (7-9 stores),#12 Ground Beef Pack,99.0,bundle,False,Meat & Poultry,2020,store-specific,https://web.archive.org/web/20200117162406id_/http://www.harterhouse.com:80/bundle-packs
2020-01-21 08:16:17,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Artisan Macaroni & Cheese Entr\u00e9e,6.99,tray,False,Dairy & Eggs,2020,unknown,https://web.archive.org/web/20200121081617id_/https://gfsstore.com/
2020-01-21 08:16:17,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Macaroni & Cheese,6.99,package,False,Dairy & Eggs,2020,unknown,https://web.archive.org/web/20200121081617id_/https://gfsstore.com/
2020-01-21 08:16:17,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Coke Classic,4.0,package,False,Beverages,2020,unknown,https://web.archive.org/web/20200121081617id_/https://gfsstore.com/
2020-01-21 08:16:17,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Artisan Macaroni & Cheese Entrée,6.99,tray,False,Dairy & Eggs,2020,unknown,https://web.archive.org/web/20200121081617id_/https://gfsstore.com/
2020-01-21 08:16:17,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Spaghetti Sauce,4.99,jar,False,Pantry & Canned,2020,unknown,https://web.archive.org/web/20200121081617id_/https://gfsstore.com/
2020-01-21 08:16:17,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Diet Coke,4.0,package,False,Beverages,2020,unknown,https://web.archive.org/web/20200121081617id_/https://gfsstore.com/
2020-01-26 11:37:42,Harter House,Harter House - Springfield MO area (7-9 stores),#12 Ground Beef Pack,99.0,bundle,False,Meat & Poultry,2020,store-specific,https://web.archive.org/web/20200126113742id_/http://harterhouse.com:80/bundle-packs
2020-01-28 08:07:54,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Ground Beef,1.99,lb,False,Meat & Poultry,2020,unknown,https://web.archive.org/web/20200128080754id_/https://gfsstore.com/
2020-01-28 08:07:54,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Coke Classic,5.49,package,False,Beverages,2020,unknown,https://web.archive.org/web/20200128080754id_/https://gfsstore.com/
2020-01-28 08:07:54,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Diet Coke,5.49,package,False,Beverages,2020,unknown,https://web.archive.org/web/20200128080754id_/https://gfsstore.com/
2020-02-04 07:10:08,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Artisan Macaroni & Cheese Entr\u00e9e,6.99,tray,False,Dairy & Eggs,2020,unknown,https://web.archive.org/web/20200204071008id_/https://gfsstore.com/
2020-02-04 07:10:08,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Tomato Soup,3.99,can,False,Produce,2020,unknown,https://web.archive.org/web/20200204071008id_/https://gfsstore.com/
2020-02-04 07:10:08,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Spaghetti Sauce,4.99,jar,False,Pantry & Canned,2020,unknown,https://web.archive.org/web/20200204071008id_/https://gfsstore.com/
2020-02-04 07:10:08,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Artisan Macaroni & Cheese Entrée,6.99,tray,False,Dairy & Eggs,2020,unknown,https://web.archive.org/web/20200204071008id_/https://gfsstore.com/
2020-02-04 07:10:08,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Macaroni & Cheese,6.99,package,False,Dairy & Eggs,2020,unknown,https://web.archive.org/web/20200204071008id_/https://gfsstore.com/
2020-02-04 07:10:08,Gordon Food Service Store Mp183,Gordon Food Service Store Mp183,Diet Coke,1.0,bottle,False,Beverages,2020,unknown,https://web.archive.org/web/20200204071008id_/https://gfsstore.com/
2020-02-06 05:21:46,French's Meat Shoppe,"7851 E. McDowell Rd., Scottsdale, AZ 85257",Ground Chicken Breast,2.99,lb,False,Meat & Poultry,2020,store-specific,https://web.archive.org/web/20200206052146id_/https://frenchsmeatshop.com/menu
2020-02-06 05:21:46,French's Meat Shoppe,"7851 E. McDowell Rd., Scottsdale, AZ 85257",French's Fiesta Sirloin Steaks,10.99,lb,False,Meat & Poultry,2020,store-specific,https://web.archive.org/web/20200206052146id_/https://frenchsmeatshop.com/menu
