task_group,entries,full_coverage_entries,recorded_rows
task_group_gfs_stores,16,6,7458
task_group_small_chains,6,6,60659
task_group_pdf_menus,5,5,28263
task_group_single_store_p,5,5,24565
task_group_farm_stand,4,4,0
task_group_farm_stand+gap_fill,3,3,0
task_group_deli_counter,2,2,94552
task_group_single_store_i,2,2,34724
task_group_coop_natural,2,2,22714
task_group_single_food_b,2,2,1104
task_group_weekly_flyer,1,1,17221
task_group_ethnic_intl_3,1,1,10486
task_group_small_remaining_2,1,1,4719
task_group_neighborhood_grocery,1,1,2376
task_group_ethnic_specialty,1,1,2263
task_group_single_store_q,1,1,798
task_group_single_store_r,1,1,745
task_group_farm_produce,1,1,734
task_group_ethnic_grocery_2,1,1,494
task_group_farm_stand_4,1,1,308
task_group_coop_community,1,1,279
task_group_butcher_meat,1,1,20
