T_weeks,rho,sigma_txn,sigma_week,min_weekly_n,mde_threshold
104,0,0.15,0.01,25,2
104,0,0.15,0.03,100,2
104,0,0.15,0.01,5,5
104,0,0.15,0.03,5,5
104,0,0.15,0.01,2,10
104,0,0.15,0.03,2,10
156,0,0.15,0.01,5,2
156,0,0.15,0.03,10,2
156,0,0.15,0.01,2,5
156,0,0.15,0.03,2,5
156,0,0.15,0.01,2,10
156,0,0.15,0.03,2,10
208,0,0.15,0.01,2,2
208,0,0.15,0.03,2,2
208,0,0.15,0.01,2,5
208,0,0.15,0.03,2,5
208,0,0.15,0.01,2,10
208,0,0.15,0.03,2,10
260,0,0.15,0.01,2,2
260,0,0.15,0.03,2,2
260,0,0.15,0.01,2,5
260,0,0.15,0.03,2,5
260,0,0.15,0.01,2,10
260,0,0.15,0.03,2,10
104,0.3,0.15,0.01,50,2
104,0.3,0.15,0.01,10,5
104,0.3,0.15,0.03,10,5
104,0.3,0.15,0.01,2,10
104,0.3,0.15,0.03,2,10
156,0.3,0.15,0.01,10,2
156,0.3,0.15,0.03,25,2
156,0.3,0.15,0.01,2,5
156,0.3,0.15,0.03,2,5
156,0.3,0.15,0.01,2,10
156,0.3,0.15,0.03,2,10
208,0.3,0.15,0.01,5,2
208,0.3,0.15,0.03,5,2
208,0.3,0.15,0.01,2,5
208,0.3,0.15,0.03,2,5
208,0.3,0.15,0.01,2,10
208,0.3,0.15,0.03,2,10
260,0.3,0.15,0.01,2,2
260,0.3,0.15,0.03,2,2
260,0.3,0.15,0.01,2,5
260,0.3,0.15,0.03,2,5
260,0.3,0.15,0.01,2,10
260,0.3,0.15,0.03,2,10
104,0.5,0.15,0.01,100,2
104,0.5,0.15,0.01,10,5
104,0.5,0.15,0.03,25,5
104,0.5,0.15,0.01,5,10
104,0.5,0.15,0.03,5,10
156,0.5,0.15,0.01,25,2
156,0.5,0.15,0.03,50,2
156,0.5,0.15,0.01,5,5
156,0.5,0.15,0.03,5,5
156,0.5,0.15,0.01,2,10
156,0.5,0.15,0.03,2,10
208,0.5,0.15,0.01,10,2
208,0.5,0.15,0.03,10,2
208,0.5,0.15,0.01,2,5
208,0.5,0.15,0.03,2,5
208,0.5,0.15,0.01,2,10
208,0.5,0.15,0.03,2,10
260,0.5,0.15,0.01,5,2
260,0.5,0.15,0.03,5,2
260,0.5,0.15,0.01,2,5
260,0.5,0.15,0.03,2,5
260,0.5,0.15,0.01,2,10
260,0.5,0.15,0.03,2,10
104,0.7,0.15,0.01,250,2
104,0.7,0.15,0.01,25,5
104,0.7,0.15,0.03,50,5
104,0.7,0.15,0.01,5,10
104,0.7,0.15,0.03,5,10
156,0.7,0.15,0.01,50,2
156,0.7,0.15,0.03,500,2
156,0.7,0.15,0.01,5,5
156,0.7,0.15,0.03,5,5
156,0.7,0.15,0.01,2,10
156,0.7,0.15,0.03,2,10
208,0.7,0.15,0.01,10,2
208,0.7,0.15,0.03,25,2
208,0.7,0.15,0.01,2,5
208,0.7,0.15,0.03,2,5
208,0.7,0.15,0.01,2,10
208,0.7,0.15,0.03,2,10
260,0.7,0.15,0.01,5,2
260,0.7,0.15,0.03,10,2
260,0.7,0.15,0.01,2,5
260,0.7,0.15,0.03,2,5
260,0.7,0.15,0.01,2,10
260,0.7,0.15,0.03,2,10
104,0,0.3,0.01,100,2
104,0,0.3,0.03,250,2
104,0,0.3,0.01,25,5
104,0,0.3,0.03,25,5
104,0,0.3,0.01,5,10
104,0,0.3,0.03,5,10
156,0,0.3,0.01,25,2
156,0,0.3,0.03,25,2
156,0,0.3,0.01,5,5
156,0,0.3,0.03,5,5
156,0,0.3,0.01,2,10
156,0,0.3,0.03,2,10
208,0,0.3,0.01,10,2
208,0,0.3,0.03,10,2
208,0,0.3,0.01,2,5
208,0,0.3,0.03,2,5
208,0,0.3,0.01,2,10
208,0,0.3,0.03,2,10
260,0,0.3,0.01,5,2
260,0,0.3,0.03,5,2
260,0,0.3,0.01,2,5
260,0,0.3,0.03,2,5
260,0,0.3,0.01,2,10
260,0,0.3,0.03,2,10
104,0.3,0.3,0.01,250,2
104,0.3,0.3,0.01,25,5
104,0.3,0.3,0.03,50,5
104,0.3,0.3,0.01,10,10
104,0.3,0.3,0.03,10,10
156,0.3,0.3,0.01,50,2
156,0.3,0.3,0.03,50,2
156,0.3,0.3,0.01,10,5
156,0.3,0.3,0.03,10,5
156,0.3,0.3,0.01,2,10
156,0.3,0.3,0.03,2,10
208,0.3,0.3,0.01,25,2
208,0.3,0.3,0.03,25,2
208,0.3,0.3,0.01,5,5
208,0.3,0.3,0.03,5,5
208,0.3,0.3,0.01,2,10
208,0.3,0.3,0.03,2,10
260,0.3,0.3,0.01,10,2
260,0.3,0.3,0.03,10,2
260,0.3,0.3,0.01,2,5
260,0.3,0.3,0.03,2,5
260,0.3,0.3,0.01,2,10
260,0.3,0.3,0.03,2,10
104,0.5,0.3,0.01,500,2
104,0.5,0.3,0.01,50,5
104,0.5,0.3,0.03,100,5
104,0.5,0.3,0.01,10,10
104,0.5,0.3,0.03,10,10
156,0.5,0.3,0.01,100,2
156,0.5,0.3,0.03,250,2
156,0.5,0.3,0.01,10,5
156,0.5,0.3,0.03,10,5
156,0.5,0.3,0.01,5,10
156,0.5,0.3,0.03,5,10
208,0.5,0.3,0.01,25,2
208,0.5,0.3,0.03,50,2
208,0.5,0.3,0.01,5,5
208,0.5,0.3,0.03,5,5
208,0.5,0.3,0.01,2,10
208,0.5,0.3,0.03,2,10
260,0.5,0.3,0.01,25,2
260,0.5,0.3,0.03,25,2
260,0.5,0.3,0.01,2,5
260,0.5,0.3,0.03,2,5
260,0.5,0.3,0.01,2,10
260,0.5,0.3,0.03,2,10
104,0.7,0.3,0.01,100,5
104,0.7,0.3,0.03,250,5
104,0.7,0.3,0.01,25,10
104,0.7,0.3,0.03,25,10
156,0.7,0.3,0.01,250,2
156,0.7,0.3,0.01,25,5
156,0.7,0.3,0.03,25,5
156,0.7,0.3,0.01,5,10
156,0.7,0.3,0.03,5,10
208,0.7,0.3,0.01,50,2
208,0.7,0.3,0.03,100,2
208,0.7,0.3,0.01,10,5
208,0.7,0.3,0.03,10,5
208,0.7,0.3,0.01,2,10
208,0.7,0.3,0.03,2,10
260,0.7,0.3,0.01,25,2
260,0.7,0.3,0.03,25,2
260,0.7,0.3,0.01,5,5
260,0.7,0.3,0.03,5,5
260,0.7,0.3,0.01,2,10
260,0.7,0.3,0.03,2,10
104,0,0.5,0.01,250,2
104,0,0.5,0.01,50,5
104,0,0.5,0.03,50,5
104,0,0.5,0.01,10,10
104,0,0.5,0.03,10,10
156,0,0.5,0.01,50,2
156,0,0.5,0.03,100,2
156,0,0.5,0.01,10,5
156,0,0.5,0.03,10,5
156,0,0.5,0.01,5,10
156,0,0.5,0.03,5,10
208,0,0.5,0.01,25,2
208,0,0.5,0.03,25,2
208,0,0.5,0.01,5,5
208,0,0.5,0.03,5,5
208,0,0.5,0.01,2,10
208,0,0.5,0.03,2,10
260,0,0.5,0.01,10,2
260,0,0.5,0.03,25,2
260,0,0.5,0.01,2,5
260,0,0.5,0.03,2,5
260,0,0.5,0.01,2,10
260,0,0.5,0.03,2,10
104,0.3,0.5,0.01,500,2
104,0.3,0.5,0.01,100,5
104,0.3,0.5,0.03,100,5
104,0.3,0.5,0.01,25,10
104,0.3,0.5,0.03,25,10
156,0.3,0.5,0.01,100,2
156,0.3,0.5,0.03,250,2
156,0.3,0.5,0.01,25,5
156,0.3,0.5,0.03,25,5
156,0.3,0.5,0.01,5,10
156,0.3,0.5,0.03,5,10
208,0.3,0.5,0.01,50,2
208,0.3,0.5,0.03,50,2
208,0.3,0.5,0.01,10,5
208,0.3,0.5,0.03,10,5
208,0.3,0.5,0.01,2,10
208,0.3,0.5,0.03,2,10
260,0.3,0.5,0.01,25,2
260,0.3,0.5,0.03,25,2
260,0.3,0.5,0.01,5,5
260,0.3,0.5,0.03,5,5
260,0.3,0.5,0.01,2,10
260,0.3,0.5,0.03,2,10
104,0.5,0.5,0.01,100,5
104,0.5,0.5,0.03,250,5
104,0.5,0.5,0.01,25,10
104,0.5,0.5,0.03,50,10
156,0.5,0.5,0.01,250,2
156,0.5,0.5,0.03,500,2
156,0.5,0.5,0.01,25,5
156,0.5,0.5,0.03,50,5
156,0.5,0.5,0.01,10,10
156,0.5,0.5,0.03,10,10
208,0.5,0.5,0.01,100,2
208,0.5,0.5,0.03,100,2
208,0.5,0.5,0.01,10,5
208,0.5,0.5,0.03,10,5
208,0.5,0.5,0.01,5,10
208,0.5,0.5,0.03,5,10
260,0.5,0.5,0.01,50,2
260,0.5,0.5,0.03,50,2
260,0.5,0.5,0.01,5,5
260,0.5,0.5,0.03,5,5
260,0.5,0.5,0.01,2,10
260,0.5,0.5,0.03,2,10
104,0.7,0.5,0.01,250,5
104,0.7,0.5,0.03,500,5
104,0.7,0.5,0.01,50,10
104,0.7,0.5,0.03,100,10
156,0.7,0.5,0.01,500,2
156,0.7,0.5,0.01,50,5
156,0.7,0.5,0.03,100,5
156,0.7,0.5,0.01,25,10
156,0.7,0.5,0.03,25,10
208,0.7,0.5,0.01,250,2
208,0.7,0.5,0.03,250,2
208,0.7,0.5,0.01,25,5
208,0.7,0.5,0.03,25,5
208,0.7,0.5,0.01,5,10
208,0.7,0.5,0.03,5,10
260,0.7,0.5,0.01,100,2
260,0.7,0.5,0.03,100,2
260,0.7,0.5,0.01,10,5
260,0.7,0.5,0.03,10,5
260,0.7,0.5,0.01,5,10
260,0.7,0.5,0.03,5,10
