timestamp,chain,location,product_name,price,unit,sale,category,wayback_url
2020-08-11 03:46:37,Bostrom Farms,"Bostrom Farms, 2200 State Routes 5 and 20, Stanley, NY 14561",Andouille Sausage Links,3.49,lb,False,Meat & Poultry,https://web.archive.org/web/20200811034637/https://bostromfarms.com/specials/...
2020-09-24 17:42:32,Bostrom Farms,"Bostrom Farms, 2200 State Routes 5 and 20, Stanley, NY 14561",Beef Bacon Cheddar Patties,5.49,lb,False,Meat & Poultry,https://web.archive.org/web/20200924174232/https://bostromfarms.com/specials/...
2020-04-08 13:35:13,Cherians International Fresh Market,"Decatur / Cumming / Duluth, GA (3 stores)",24 Mantra Organic Rice Flour 4lb,5.99,,False,Pantry & Canned,https://web.archive.org/web/20200408133513id_/http://cherians.com:80/24-mantra-idly-rava-4...
2020-04-28 09:29:06,Cherians International Fresh Market,"Decatur / Cumming / Duluth, GA (3 stores)",777 Ginger Garlic Paste 300g,3.49,,False,Produce,https://web.archive.org/web/20200428092906id_/http://cherians.com:80/24-mantra-organic-cor...
2020-09-24 11:38:23,Country Lane Market & Pantry,"1642 16th St, Barron, WI 54812",85/15 Ground Beef (BLT Farms),4.5,lb,False,Meat & Poultry,https://web.archive.org/web/20200924113823id_/https://countrylanemarket.com/home...
2020-11-30 04:46:45,Country Lane Market & Pantry,"1642 16th St, Barron, WI 54812",85/15 Ground Beef (BLT Farms),4.5,lb,False,Meat & Poultry,https://web.archive.org/web/20201130044645id_/https://countrylanemarket.com/home...
2020-08-11 00:00:00,Dave's Meat Market,"1175 N Bridge St, Yorkville, IL 60560",Bone-In Pork Chop,3.69,per lb,False,Meat & Poultry,https://web.archive.org/web/20200811055800/https://www.davesmeatmarket.us/product-page/bon...
2020-09-30 00:00:00,Dave's Meat Market,"1175 N Bridge St, Yorkville, IL 60560",Bone-In Ribeye,14.98,per lb,False,Meat & Poultry,https://web.archive.org/web/20200930192603/https://www.davesmeatmarket.us/product-page/bon...
2020-02-13 23:41:07,Food Conspiracy Co-op,"Food Conspiracy Co-op, Tucson AZ (single store)",Local Arizona Sweet Oranges,1.69,lb,False,Produce,https://web.archive.org/web/20200213234107id_/http://www.foodconspiracy.coop:80/specials/p...
2020-03-15 13:10:06,Food Conspiracy Co-op,"Food Conspiracy Co-op, Tucson AZ (single store)",Local Green Kale,1.99,ea,False,Produce,https://web.archive.org/web/20200315131006id_/http://www.foodconspiracy.coop:80/specials/p...
