occasion,archetype,weighted_meals,unweighted_meals,participants,top_groups,top_categories,occasion_weight,weighted_share,stratum
breakfast,other breakfast,93717759.71331,1898,1790,"sweet_drink, sweet_baked, water, fruit","Doughnuts, sweet rolls, pastries, Eggs and omelets, Smoothies and grain drinks, Bottled water",305642351.691707,0.3066255680686573,all
breakfast,cereal or oatmeal breakfast,65889065.989142,1473,1469,"milk_dairy_drink, cereal_oatmeal, cereal_oatmeal, milk_dairy_drink, cereal_oatmeal, milk_dairy_drink, cereal_oatmeal, fruit","Ready-to-eat cereal, higher sugar (>21.2g/100g), Milk, whole, Ready-to-eat cereal, higher sugar (>21.2g/100g), Milk, reduced fat, Milk, reduced fat, Ready-to-eat cereal, higher sugar (>21.2g/100g), Milk, whole, Ready-to-eat cereal, higher sugar (>21.2g/100g)",305642351.691707,0.2155757067842564,all
breakfast,coffee-first breakfast,48409595.04649,1011,991,"condiment_fat, coffee_tea, coffee_tea, coffee_tea, condiment_fat, coffee_tea, milk_dairy_drink","Coffee, Cream and cream substitutes, Coffee, Coffee, Cream and cream substitutes, Tea",305642351.691707,0.15838641071352383,all
breakfast,coffee and pastry breakfast,29977340.634731,643,639,"condiment_fat, bread, coffee_tea, sweet_baked, coffee_tea, bread, coffee_tea, condiment_fat, bread, condiment_fat, coffee_tea","Doughnuts, sweet rolls, pastries, Coffee, Coffee, Cookies and brownies, Biscuits, muffins, quick breads, Coffee, Coffee, Cereal bars",305642351.691707,0.09807979970317829,all
breakfast,breakfast sandwich or burrito,29277764.040263,561,561,"sandwich, coffee_tea, sandwich, water, sandwich, condiment_fat, sandwich","Egg/breakfast sandwiches, Egg/breakfast sandwiches, Coffee, Egg/breakfast sandwiches, Tap water, Coffee, Egg/breakfast sandwiches",305642351.691707,0.09579092648061638,all
breakfast,eggs with bread or meat,28983441.005776,610,610,"condiment_fat, eggs, bread, bread, eggs, breakfast_meat, eggs, eggs, bread","Yeast breads, Eggs and omelets, Eggs and omelets, Yeast breads, Eggs and omelets, Butter and animal fats, Yeast breads, Bacon, Eggs and omelets",305642351.691707,0.09482796099871262,all
breakfast,fruit and bread breakfast,6007101.110492,126,125,"bread, fruit, bread, water, fruit, condiment_fat, bread, fruit, fruit, bread","Yeast breads, Bananas, Nuts and seeds, Bagels and English muffins, Apples, Cream cheese, sour cream, whipped cream, Bananas, Nuts and seeds, Bagels and English muffins, Grapes, Strawberries, Butter and animal fats, Jams, syrups, toppings, Blueberries and other berries, Pancakes, waffles, French toast",305642351.691707,0.019654020711603465,all
breakfast,yogurt and fruit breakfast,3380284.151503,80,80,"fruit, yogurt, yogurt, fruit, condiment_fat, fruit, coffee_tea, yogurt, water, beans_nuts, fruit, yogurt","Yogurt, regular, Bananas, Yogurt, Greek, Bananas, Tap water, Pancakes, waffles, French toast, Blueberries and other berries, Yogurt, regular, Nuts and seeds, Bottled water, Blueberries and other berries, Milk, whole, Yogurt, regular",305642351.691707,0.011059606539451702,all
dinner,other dinner,97811231.490792,2163,2027,"grain_starch, sweet_baked, water, meat_poultry","Pasta mixed dishes, excludes macaroni and cheese, Chicken, whole pieces, Tap water, Ice cream and frozen dairy desserts",321954836.069638,0.30380420025632315,all
dinner,mixed entree dinner,52907742.984831,1037,1028,"mixed_main, mixed_main, water, water, mixed_main, mixed_main, grain_starch","Meat mixed dishes, Poultry mixed dishes, Fried rice and lo/chow mein, Pasta mixed dishes, excludes macaroni and cheese, Cheese",321954836.069638,0.16433281024978047,all
dinner,sandwich dinner,48431015.375761,936,930,"sandwich, condiment_fat, sandwich, sandwich, sweet_drink, sandwich, condiment_fat","Egg/breakfast sandwiches, Peanut butter and jelly sandwiches, Meat and BBQ sandwiches, Mayonnaise, Deli and cured meat sandwiches",321954836.069638,0.15042797917558068,all
dinner,protein vegetable starch dinner,30233207.521667,637,637,"vegetables, grain_starch, meat_poultry, meat_poultry, vegetables, grain_starch, grain_starch, meat_poultry, vegetables, meat_poultry, grain_starch, vegetables","Macaroni and cheese, String beans, Chicken patties, nuggets and tenders, Not included in a food category, Mashed potatoes and white potato mixtures, Wine, Other vegetables and combinations, Shellfish, Turkey, duck, other poultry, Onions, Tomatoes, Soft drinks, Blueberries and other berries, Mashed potatoes and white potato mixtures, Other vegetables and combinations, Shellfish, Tap water",321954836.069638,0.09390512001853463,all
dinner,protein and starch dinner,27746170.211089,578,577,"grain_starch, meat_poultry, meat_poultry, grain_starch, meat_poultry, water, grain_starch, meat_poultry, sweet_drink, grain_starch","Chicken patties, nuggets and tenders, French fries and other fried white potatoes, Rice, Chicken, whole pieces, White potatoes, baked or boiled, Chicken, whole pieces, Rice, Pork",321954836.069638,0.08618031817694943,all
dinner,tortilla dinner,24653181.504424,488,480,"tortilla, tortilla, sweet_drink, condiment_fat, tortilla, sweet_drink, tortilla","Burritos and tacos, Other Mexican mixed dishes, Burritos and tacos, Soft drinks, Other Mexican mixed dishes, Soft drinks",321954836.069638,0.07657341571689136,all
dinner,pizza dinner,21029736.933416,409,409,"pizza, water, pizza, pizza, sweet_drink, pizza, water","Pizza, Tap water, Pizza, Bottled water, Pizza, Pizza, Tap water",321954836.069638,0.0653189037013481,all
dinner,soup dinner,19142550.047658,419,416,"soup, sweet_drink, soup, water, soup, soup, water","Soups, broth-based, Ramen and Asian broth-based soups, Soups, cream-based, Tap water, Soups, broth-based",321954836.069638,0.05945725270459213,all
lunch,other lunch,72809119.973317,1551,1508,"sweet_drink, water, grain_starch, fruit","Bottled water, Pasta mixed dishes, excludes macaroni and cheese, Tap water, Nutritional beverages",256048535.993135,0.28435671264790635,all
lunch,sandwich lunch,72557395.702307,1509,1506,"sandwich, sandwich, condiment_fat, condiment_fat, sandwich, sandwich, water","Deli and cured meat sandwiches, Mayonnaise, Deli and cured meat sandwiches, Peanut butter and jelly sandwiches, Cheese sandwiches",256048535.993135,0.2833736011060511,all
lunch,plate lunch,27969144.234385,574,573,"meat_poultry, grain_starch, grain_starch, meat_poultry, vegetables, meat_poultry, meat_poultry, vegetables","French fries and other fried white potatoes, Chicken patties, nuggets and tenders, Chicken, whole pieces, Rice mixed dishes, Chicken patties, nuggets and tenders, Soft drinks, French fries and other fried white potatoes, Tomato-based condiments, Tomato-based condiments, Chicken patties, nuggets and tenders, French fries and other fried white potatoes",256048535.993135,0.10923375963038073,all
lunch,mixed entree lunch,26970416.477025,526,525,"mixed_main, grain_starch, mixed_main, water, mixed_main, sweet_drink, mixed_main","Poultry mixed dishes, Meat mixed dishes, Fried rice and lo/chow mein, Poultry mixed dishes, Tap water",256048535.993135,0.10533321884624293,all
